2025-08-08 11:10:16,546 [INFO] fetch_kline.py:82 筛选得到 3259 只股票
2025-08-08 11:10:16,548 [INFO] fetch_kline.py:331 开始抓取 3259 支股票 | 数据源:akshare | 频率:day | 日期:20250101 → 20250808
2025-08-08 11:10:56,854 [WARNING] fetch_kline.py:164 AKShare 拉取 002297 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:57,134 [WARNING] fetch_kline.py:164 AKShare 拉取 002298 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:57,918 [WARNING] fetch_kline.py:164 AKShare 拉取 002299 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:57,923 [WARNING] fetch_kline.py:164 AKShare 拉取 002294 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:58,191 [WARNING] fetch_kline.py:164 AKShare 拉取 002301 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:58,388 [WARNING] fetch_kline.py:164 AKShare 拉取 002302 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:58,681 [WARNING] fetch_kline.py:164 AKShare 拉取 002292 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:59,009 [WARNING] fetch_kline.py:164 AKShare 拉取 002297 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:59,234 [WARNING] fetch_kline.py:164 AKShare 拉取 002303 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:59,239 [WARNING] fetch_kline.py:164 AKShare 拉取 002298 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:59,416 [WARNING] fetch_kline.py:164 AKShare 拉取 002304 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:59,561 [WARNING] fetch_kline.py:164 AKShare 拉取 002301 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:59,602 [WARNING] fetch_kline.py:164 AKShare 拉取 002302 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:00,054 [WARNING] fetch_kline.py:164 AKShare 拉取 002299 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:00,085 [WARNING] fetch_kline.py:164 AKShare 拉取 002293 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:00,716 [WARNING] fetch_kline.py:164 AKShare 拉取 002304 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:00,851 [WARNING] fetch_kline.py:164 AKShare 拉取 002303 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:00,896 [WARNING] fetch_kline.py:164 AKShare 拉取 002294 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:02,289 [WARNING] fetch_kline.py:164 AKShare 拉取 002302 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:02,455 [WARNING] fetch_kline.py:164 AKShare 拉取 002298 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:02,629 [WARNING] fetch_kline.py:164 AKShare 拉取 002297 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:02,847 [WARNING] fetch_kline.py:164 AKShare 拉取 002299 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:03,366 [WARNING] fetch_kline.py:164 AKShare 拉取 002301 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:03,740 [WARNING] fetch_kline.py:164 AKShare 拉取 002307 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:04,198 [WARNING] fetch_kline.py:164 AKShare 拉取 002303 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:04,388 [WARNING] fetch_kline.py:164 AKShare 拉取 002304 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:05,502 [WARNING] fetch_kline.py:164 AKShare 拉取 002309 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:11:05,510 [WARNING] fetch_kline.py:164 AKShare 拉取 002310 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
